sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Agent 3;Utility 1;Utility 2;Utility 3;Disc. Util. 1;Disc. Util. 2;Disc. Util. 3;Perceived. Util. 1;Perceived. Util. 2;Perceived. Util. 3;User Bother 1;User Bother 2;User Bother 3;User Util. 1;User Util. 2;User Util. 3;Profile 1;Profile 2;Profile 3
0.543;50;;60rounds;Yes;No;3;0.54583;0.89642;0.06602;0.43717;2.05149;AgentF@3;AgentF@4;AgentF@5;0.5458333333333334;0.6092446129859779;0.8964159728923844;0.5458333333333334;0.6092446129859779;0.8964159728923844;0.5458333333333334;0.6092446129859779;0.8964159728923844;0.0;0.0;0.0;0.5458333333333334;0.6092446129859779;0.8964159728923844;party1_utility.xml;party2_utility.xml;party3_utility.xml
4.598;60;;60rounds;Yes;No;3;0.66845;0.86917;0.00000;0.27360;2.26591;ParsAgent2@6;AgentF@7;AgentF@8;0.8691666666666665;0.6684535901130682;0.7282936928810025;0.8691666666666665;0.6684535901130682;0.7282936928810025;0.8691666666666665;0.6684535901130682;0.7282936928810025;0.0;0.0;0.0;0.8691666666666665;0.6684535901130682;0.7282936928810025;party1_utility.xml;party2_utility.xml;party3_utility.xml
0.675;60;;60rounds;Yes;No;3;0.44889;0.98840;0.00000;0.62017;1.93729;RandomParty@9;AgentF@10;AgentF@11;0.5;0.44889131368935486;0.9883966566884121;0.5;0.44889131368935486;0.9883966566884121;0.5;0.44889131368935486;0.9883966566884121;0.0;0.0;0.0;0.5;0.44889131368935486;0.9883966566884121;party1_utility.xml;party2_utility.xml;party3_utility.xml
2.000;61;;60rounds;No;No;2;0.00000;0.00000;1.16612;1.41191;0.00000;ATeamAgent@12;AgentF@13;AgentF@14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml
0.727;33;;60rounds;Yes;No;3;0.62886;0.94015;0.05472;0.15512;2.22735;group10.ExampleAgent@15;AgentF@16;AgentF@17;0.6583333333333334;0.9401512488914268;0.6288617462014846;0.6583333333333334;0.9401512488914268;0.6288617462014846;0.6583333333333334;0.9401512488914268;0.6288617462014846;0.0;0.0;0.0;0.6583333333333334;0.9401512488914268;0.6288617462014846;party1_utility.xml;party2_utility.xml;party3_utility.xml
4.544;61;;60rounds;Yes;No;3;0.71766;0.92857;0.00000;0.00000;2.43122;AgentF@18;ParsAgent2@19;AgentF@20;0.7849999999999999;0.9285654723948509;0.7176566046946408;0.7849999999999999;0.9285654723948509;0.7176566046946408;0.7849999999999999;0.9285654723948509;0.7176566046946408;0.0;0.0;0.0;0.7849999999999999;0.9285654723948509;0.7176566046946408;party1_utility.xml;party2_utility.xml;party3_utility.xml
8.581;61;;60rounds;No;No;2;0.00000;0.00000;1.16612;1.41191;0.00000;ParsAgent2@21;ParsAgent2@22;AgentF@23;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml
4.652;56;;60rounds;Yes;No;3;0.71766;0.92857;0.00000;0.00000;2.43122;RandomParty@24;ParsAgent2@25;AgentF@26;0.7849999999999999;0.9285654723948509;0.7176566046946408;0.7849999999999999;0.9285654723948509;0.7176566046946408;0.7849999999999999;0.9285654723948509;0.7176566046946408;0.0;0.0;0.0;0.7849999999999999;0.9285654723948509;0.7176566046946408;party1_utility.xml;party2_utility.xml;party3_utility.xml
6.024;61;;60rounds;No;No;2;0.00000;0.00000;1.16612;1.41191;0.00000;ATeamAgent@27;ParsAgent2@28;AgentF@29;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml
4.702;38;;60rounds;Yes;No;3;0.58562;1.00000;0.00000;0.19642;2.24396;group10.ExampleAgent@30;ParsAgent2@31;AgentF@32;0.6583333333333333;1.0;0.5856226065195247;0.6583333333333333;1.0;0.5856226065195247;0.6583333333333333;1.0;0.5856226065195247;0.0;0.0;0.0;0.6583333333333333;1.0;0.5856226065195247;party1_utility.xml;party2_utility.xml;party3_utility.xml
0.381;47;;60rounds;Yes;No;3;0.60413;0.76750;0.05472;0.32614;2.11755;AgentF@33;RandomParty@34;AgentF@35;0.7675000000000001;0.6041287234674287;0.7459240723469642;0.7675000000000001;0.6041287234674287;0.7459240723469642;0.7675000000000001;0.6041287234674287;0.7459240723469642;0.0;0.0;0.0;0.7675000000000001;0.6041287234674287;0.7459240723469642;party1_utility.xml;party2_utility.xml;party3_utility.xml
