1,1,0.01639344262295082,ImprovedRandomAgent@0,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
1,2,0.01639344262295082,ExampleAgent@1,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
1,3,0.01639344262295082,BoulwareNegotiationParty@2,(Offer  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD])
2,1,0.03278688524590164,ImprovedRandomAgent@0,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
2,2,0.03278688524590164,ExampleAgent@1,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
2,3,0.03278688524590164,BoulwareNegotiationParty@2,(Offer  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD])
3,1,0.04918032786885246,ImprovedRandomAgent@0,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
3,2,0.04918032786885246,ExampleAgent@1,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
3,3,0.04918032786885246,BoulwareNegotiationParty@2,(Offer  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD])
4,1,0.06557377049180328,ImprovedRandomAgent@0,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
4,2,0.06557377049180328,ExampleAgent@1,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
4,3,0.06557377049180328,BoulwareNegotiationParty@2,(Offer  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD])
5,1,0.08196721311475409,ImprovedRandomAgent@0,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
5,2,0.08196721311475409,ExampleAgent@1,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
5,3,0.08196721311475409,BoulwareNegotiationParty@2,(Offer  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD])
6,1,0.09836065573770492,ImprovedRandomAgent@0,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 20'' LCD])
6,2,0.09836065573770492,ExampleAgent@1,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
6,3,0.09836065573770492,BoulwareNegotiationParty@2,(Offer  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD])
7,1,0.11475409836065574,ImprovedRandomAgent@0,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 20'' LCD])
7,2,0.11475409836065574,ExampleAgent@1,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
7,3,0.11475409836065574,BoulwareNegotiationParty@2,(Offer  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD])
8,1,0.13114754098360656,ImprovedRandomAgent@0,(Accept  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD])
8,2,0.13114754098360656,ExampleAgent@1,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
8,3,0.13114754098360656,BoulwareNegotiationParty@2,(Offer  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD])
9,1,0.14754098360655737,ImprovedRandomAgent@0,(Accept  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD])
9,2,0.14754098360655737,ExampleAgent@1,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
9,3,0.14754098360655737,BoulwareNegotiationParty@2,(Offer  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD])
10,1,0.16393442622950818,ImprovedRandomAgent@0,(Accept  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD])
10,2,0.16393442622950818,ExampleAgent@1,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
10,3,0.16393442622950818,BoulwareNegotiationParty@2,(Offer  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD])
11,1,0.18032786885245902,ImprovedRandomAgent@0,(Accept  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD])
11,2,0.18032786885245902,ExampleAgent@1,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
11,3,0.18032786885245902,BoulwareNegotiationParty@2,(Offer  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD])
12,1,0.19672131147540983,ImprovedRandomAgent@0,(Accept  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD])
12,2,0.19672131147540983,ExampleAgent@1,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
12,3,0.19672131147540983,BoulwareNegotiationParty@2,(Offer  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD])
13,1,0.21311475409836064,ImprovedRandomAgent@0,(Accept  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD])
13,2,0.21311475409836064,ExampleAgent@1,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
13,3,0.21311475409836064,BoulwareNegotiationParty@2,(Offer  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD])
14,1,0.22950819672131148,ImprovedRandomAgent@0,(Accept  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD])
14,2,0.22950819672131148,ExampleAgent@1,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
14,3,0.22950819672131148,BoulwareNegotiationParty@2,(Offer  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD])
15,1,0.2459016393442623,ImprovedRandomAgent@0,(Accept  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD])
15,2,0.2459016393442623,ExampleAgent@1,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
15,3,0.2459016393442623,BoulwareNegotiationParty@2,(Offer  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD])
16,1,0.26229508196721313,ImprovedRandomAgent@0,(Accept  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD])
16,2,0.26229508196721313,ExampleAgent@1,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
16,3,0.26229508196721313,BoulwareNegotiationParty@2,(Offer  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD])
17,1,0.2786885245901639,ImprovedRandomAgent@0,(Accept  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD])
17,2,0.2786885245901639,ExampleAgent@1,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
17,3,0.2786885245901639,BoulwareNegotiationParty@2,(Offer  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD])
18,1,0.29508196721311475,ImprovedRandomAgent@0,(Accept  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD])
18,2,0.29508196721311475,ExampleAgent@1,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
18,3,0.29508196721311475,BoulwareNegotiationParty@2,(Offer  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD])
19,1,0.3114754098360656,ImprovedRandomAgent@0,(Accept  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD])
19,2,0.3114754098360656,ExampleAgent@1,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
19,3,0.3114754098360656,BoulwareNegotiationParty@2,(Offer  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD])
20,1,0.32786885245901637,ImprovedRandomAgent@0,(Accept  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD])
20,2,0.32786885245901637,ExampleAgent@1,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
20,3,0.32786885245901637,BoulwareNegotiationParty@2,(Offer  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD])
21,1,0.3442622950819672,ImprovedRandomAgent@0,(Accept  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD])
21,2,0.3442622950819672,ExampleAgent@1,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
21,3,0.3442622950819672,BoulwareNegotiationParty@2,(Offer  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD])
22,1,0.36065573770491804,ImprovedRandomAgent@0,(Accept  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD])
22,2,0.36065573770491804,ExampleAgent@1,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
22,3,0.36065573770491804,BoulwareNegotiationParty@2,(Offer  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD])
