1,1,0.01639344262295082,Agent10@259,(Offer  bid:Bid[0000-0300: 25kW, 0300-0600: 0kW, 0600-0900: 100kW, 0900-1200: 0kW, 1200-1500: 50kW, 1500-1800: 100kW, 1800-2100: 25kW, 2100-0000: 50kW])
1,2,0.01639344262295082,BoulwareNegotiationParty@260,(Offer  bid:Bid[0000-0300: 75kW, 0300-0600: 50kW, 0600-0900: 25kW, 0900-1200: 100kW, 1200-1500: 75kW, 1500-1800: 100kW, 1800-2100: 50kW, 2100-0000: 75kW])
1,3,0.01639344262295082,ConcederNegotiationParty@261,(Offer  bid:Bid[0000-0300: 25kW, 0300-0600: 100kW, 0600-0900: 100kW, 0900-1200: 75kW, 1200-1500: 75kW, 1500-1800: 100kW, 1800-2100: 100kW, 2100-0000: 100kW])
2,1,0.03278688524590164,Agent10@259,(Offer  bid:Bid[0000-0300: 25kW, 0300-0600: 0kW, 0600-0900: 0kW, 0900-1200: 50kW, 1200-1500: 0kW, 1500-1800: 25kW, 1800-2100: 0kW, 2100-0000: 25kW])
2,2,0.03278688524590164,BoulwareNegotiationParty@260,(Offer  bid:Bid[0000-0300: 75kW, 0300-0600: 50kW, 0600-0900: 25kW, 0900-1200: 100kW, 1200-1500: 75kW, 1500-1800: 100kW, 1800-2100: 50kW, 2100-0000: 75kW])
2,3,0.03278688524590164,ConcederNegotiationParty@261,(Offer  bid:Bid[0000-0300: 25kW, 0300-0600: 100kW, 0600-0900: 100kW, 0900-1200: 100kW, 1200-1500: 100kW, 1500-1800: 100kW, 1800-2100: 25kW, 2100-0000: 100kW])
3,1,0.04918032786885246,Agent10@259,(Offer  bid:Bid[0000-0300: 25kW, 0300-0600: 0kW, 0600-0900: 75kW, 0900-1200: 0kW, 1200-1500: 0kW, 1500-1800: 25kW, 1800-2100: 0kW, 2100-0000: 25kW])
3,2,0.04918032786885246,BoulwareNegotiationParty@260,(Offer  bid:Bid[0000-0300: 75kW, 0300-0600: 50kW, 0600-0900: 25kW, 0900-1200: 100kW, 1200-1500: 75kW, 1500-1800: 100kW, 1800-2100: 50kW, 2100-0000: 75kW])
3,3,0.04918032786885246,ConcederNegotiationParty@261,(Offer  bid:Bid[0000-0300: 25kW, 0300-0600: 25kW, 0600-0900: 100kW, 0900-1200: 75kW, 1200-1500: 75kW, 1500-1800: 100kW, 1800-2100: 75kW, 2100-0000: 100kW])
4,1,0.06557377049180328,Agent10@259,(Offer  bid:Bid[0000-0300: 25kW, 0300-0600: 0kW, 0600-0900: 0kW, 0900-1200: 0kW, 1200-1500: 50kW, 1500-1800: 25kW, 1800-2100: 25kW, 2100-0000: 0kW])
4,2,0.06557377049180328,BoulwareNegotiationParty@260,(Offer  bid:Bid[0000-0300: 75kW, 0300-0600: 50kW, 0600-0900: 25kW, 0900-1200: 100kW, 1200-1500: 75kW, 1500-1800: 100kW, 1800-2100: 50kW, 2100-0000: 75kW])
4,3,0.06557377049180328,ConcederNegotiationParty@261,(Offer  bid:Bid[0000-0300: 25kW, 0300-0600: 0kW, 0600-0900: 100kW, 0900-1200: 100kW, 1200-1500: 100kW, 1500-1800: 75kW, 1800-2100: 100kW, 2100-0000: 100kW])
5,1,0.08196721311475409,Agent10@259,(Offer  bid:Bid[0000-0300: 100kW, 0300-0600: 0kW, 0600-0900: 25kW, 0900-1200: 25kW, 1200-1500: 25kW, 1500-1800: 25kW, 1800-2100: 25kW, 2100-0000: 50kW])
5,2,0.08196721311475409,BoulwareNegotiationParty@260,(Offer  bid:Bid[0000-0300: 75kW, 0300-0600: 50kW, 0600-0900: 25kW, 0900-1200: 100kW, 1200-1500: 75kW, 1500-1800: 100kW, 1800-2100: 50kW, 2100-0000: 75kW])
5,3,0.08196721311475409,ConcederNegotiationParty@261,(Offer  bid:Bid[0000-0300: 75kW, 0300-0600: 50kW, 0600-0900: 100kW, 0900-1200: 100kW, 1200-1500: 100kW, 1500-1800: 100kW, 1800-2100: 100kW, 2100-0000: 100kW])
6,1,0.09836065573770492,Agent10@259,(Offer  bid:Bid[0000-0300: 25kW, 0300-0600: 50kW, 0600-0900: 0kW, 0900-1200: 0kW, 1200-1500: 0kW, 1500-1800: 25kW, 1800-2100: 0kW, 2100-0000: 25kW])
6,2,0.09836065573770492,BoulwareNegotiationParty@260,(Offer  bid:Bid[0000-0300: 75kW, 0300-0600: 50kW, 0600-0900: 25kW, 0900-1200: 100kW, 1200-1500: 75kW, 1500-1800: 100kW, 1800-2100: 50kW, 2100-0000: 75kW])
6,3,0.09836065573770492,ConcederNegotiationParty@261,(Offer  bid:Bid[0000-0300: 25kW, 0300-0600: 50kW, 0600-0900: 100kW, 0900-1200: 75kW, 1200-1500: 25kW, 1500-1800: 100kW, 1800-2100: 25kW, 2100-0000: 100kW])
7,1,0.11475409836065574,Agent10@259,(Offer  bid:Bid[0000-0300: 25kW, 0300-0600: 75kW, 0600-0900: 100kW, 0900-1200: 25kW, 1200-1500: 0kW, 1500-1800: 25kW, 1800-2100: 50kW, 2100-0000: 25kW])
