sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Agent 3;Agent 4;Utility 1;Utility 2;Utility 3;Utility 4;Disc. Util. 1;Disc. Util. 2;Disc. Util. 3;Disc. Util. 4;Perceived. Util. 1;Perceived. Util. 2;Perceived. Util. 3;Perceived. Util. 4;User Bother 1;User Bother 2;User Bother 3;User Bother 4;User Util. 1;User Util. 2;User Util. 3;User Util. 4;Profile 1;Profile 2;Profile 3;Profile 4
0.410;29;;30rounds;Yes;No;4;0.58505;0.78571;0.05877;0.35744;2.73769;BoulwareNegotiationParty@3;BoulwareNegotiationParty@4;BoulwareNegotiationParty@5;BoulwareNegotiationParty@6;0.595;0.5850525701993788;0.7719269225810125;0.7857136;0.595;0.5850525701993788;0.7719269225810125;0.7857136;0.595;0.5850525701993788;0.7719269225810125;0.7857136;0.0;0.0;0.0;0.0;0.595;0.5850525701993788;0.7719269225810125;0.7857136;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
0.500;30;;30rounds;Yes;No;4;0.60862;0.85031;0.00000;0.28219;2.97179;ImprovedRandomAgent@7;BoulwareNegotiationParty@8;BoulwareNegotiationParty@9;BoulwareNegotiationParty@10;0.7866666666666667;0.6086178232668726;0.8503107445423197;0.7261898000000001;0.7866666666666667;0.6086178232668726;0.8503107445423197;0.7261898000000001;0.7866666666666667;0.6086178232668726;0.8503107445423197;0.7261898000000001;0.0;0.0;0.0;0.0;0.7866666666666667;0.6086178232668726;0.8503107445423197;0.7261898000000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
0.532;29;;30rounds;Yes;No;4;0.58505;0.78571;0.05877;0.35744;2.73769;ExampleAgent@11;BoulwareNegotiationParty@12;BoulwareNegotiationParty@13;BoulwareNegotiationParty@14;0.595;0.5850525701993788;0.7719269225810125;0.7857136;0.595;0.5850525701993788;0.7719269225810125;0.7857136;0.595;0.5850525701993788;0.7719269225810125;0.7857136;0.0;0.0;0.0;0.0;0.595;0.5850525701993788;0.7719269225810125;0.7857136;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
;22;Session genius.core.session.Session@77cb4705 failed: Failed to execute protocol: null:[agents.ABMPAgent2, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty];30rounds;No;;0;;;;;;ABMPAgent2;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;party1_utility;party2_utility;party3_utility;party4_utility
0.424;29;;30rounds;Yes;No;4;0.56667;0.84869;0.00000;0.32037;2.77482;BoulwareNegotiationParty@19;ImprovedRandomAgent@20;BoulwareNegotiationParty@21;BoulwareNegotiationParty@22;0.5666666666666667;0.84868595115394;0.7523232122339405;0.6071423250000001;0.5666666666666667;0.84868595115394;0.7523232122339405;0.6071423250000001;0.5666666666666667;0.84868595115394;0.7523232122339405;0.6071423250000001;0.0;0.0;0.0;0.0;0.5666666666666667;0.84868595115394;0.7523232122339405;0.6071423250000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
0.495;31;;30rounds;Yes;No;4;0.51750;0.74887;0.14110;0.40801;2.54461;ImprovedRandomAgent@23;ImprovedRandomAgent@24;BoulwareNegotiationParty@25;BoulwareNegotiationParty@26;0.5175000000000001;0.7306288358441619;0.7488675009677684;0.5476185250000001;0.5175000000000001;0.7306288358441619;0.7488675009677684;0.5476185250000001;0.5175000000000001;0.7306288358441619;0.7488675009677684;0.5476185250000001;0.0;0.0;0.0;0.0;0.5175000000000001;0.7306288358441619;0.7488675009677684;0.5476185250000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
0.893;29;;30rounds;Yes;No;4;0.63322;0.73186;0.12446;0.22348;2.72008;ExampleAgent@27;ImprovedRandomAgent@28;BoulwareNegotiationParty@29;BoulwareNegotiationParty@30;0.6883333333333334;0.7318561905716419;0.6332208612846566;0.6666661;0.6883333333333334;0.7318561905716419;0.6332208612846566;0.6666661;0.6883333333333334;0.7318561905716419;0.6332208612846566;0.6666661;0.0;0.0;0.0;0.0;0.6883333333333334;0.7318561905716419;0.6332208612846566;0.6666661;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
;22;Session genius.core.session.Session@2c757e54 failed: Failed to execute protocol: null:[agents.ABMPAgent2, C:\Users\sstoi\IdeaProjects\Intelligent-Agent\out\production\Intelligent-Agent\group10\ImprovedRandomAgent.class, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty];30rounds;No;;0;;;;;;ABMPAgent2;ImprovedRandomAgent;BoulwareNegotiationParty;BoulwareNegotiationParty;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;party1_utility;party2_utility;party3_utility;party4_utility
0.517;29;;30rounds;Yes;No;4;0.52834;0.77667;0.22422;0.40133;2.43697;BoulwareNegotiationParty@35;ExampleAgent@36;BoulwareNegotiationParty@37;BoulwareNegotiationParty@38;0.7766666666666667;0.5283354483793764;0.5486316065341047;0.5833328500000001;0.7766666666666667;0.5283354483793764;0.5486316065341047;0.5833328500000001;0.7766666666666667;0.5283354483793764;0.5486316065341047;0.5833328500000001;0.0;0.0;0.0;0.0;0.7766666666666667;0.5283354483793764;0.5486316065341047;0.5833328500000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
0.589;30;;30rounds;Yes;No;4;0.33652;0.85750;0.15567;0.52783;2.52725;ImprovedRandomAgent@39;ExampleAgent@40;BoulwareNegotiationParty@41;BoulwareNegotiationParty@42;0.8575;0.33651712861484684;0.5475228840074904;0.7857136;0.8575;0.33651712861484684;0.5475228840074904;0.7857136;0.8575;0.33651712861484684;0.5475228840074904;0.7857136;0.0;0.0;0.0;0.0;0.8575;0.33651712861484684;0.5475228840074904;0.7857136;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
