sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Agent 3;Utility 1;Utility 2;Utility 3;Disc. Util. 1;Disc. Util. 2;Disc. Util. 3;Perceived. Util. 1;Perceived. Util. 2;Perceived. Util. 3;User Bother 1;User Bother 2;User Bother 3;User Util. 1;User Util. 2;User Util. 3;Profile 1;Profile 2;Profile 3
;1;Session genius.core.session.Session@79efbf3a failed: failed to construct agent : Execution failed of init<Mamenchis@172,Participant[Party162,PartyRepositoryItem[Mamenchis,agents.anac.y2017.mamenchis.Mamenchis,ANAC2017, is mediator=false],etc/templates/partydomain/party1_utility.xml]>:java.lang.IllegalStateException: need standard persistent data: need standard persistent data:[agents.anac.y2017.mamenchis.Mamenchis, agents.anac.y2017.mamenchis.Mamenchis, agents.anac.y2017.mamenchis.Mamenchis];60rounds;No;;0;;;;;;Mamenchis;Mamenchis;Mamenchis;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;party1_utility;party2_utility;party3_utility
;1;Session genius.core.session.Session@2bd8b241 failed: failed to construct agent : Execution failed of init<Mamenchis@176,Participant[Party166,PartyRepositoryItem[Mamenchis,agents.anac.y2017.mamenchis.Mamenchis,ANAC2017, is mediator=false],etc/templates/partydomain/party2_utility.xml]>:java.lang.IllegalStateException: need standard persistent data: need standard persistent data:[C:\Users\sstoi\IdeaProjects\Intelligent-Agent\out\production\Intelligent-Agent\group10\Agent10.class, agents.anac.y2017.mamenchis.Mamenchis, agents.anac.y2017.mamenchis.Mamenchis];60rounds;No;;0;;;;;;Agent10;Mamenchis;Mamenchis;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;party1_utility;party2_utility;party3_utility
;1;Session genius.core.session.Session@62ebb7af failed: failed to construct agent : Execution failed of init<Mamenchis@179,Participant[Party169,PartyRepositoryItem[Mamenchis,agents.anac.y2017.mamenchis.Mamenchis,ANAC2017, is mediator=false],etc/templates/partydomain/party2_utility.xml]>:java.lang.IllegalStateException: need standard persistent data: need standard persistent data:[agents.anac.y2013.SlavaAgent.SlavaAgent, agents.anac.y2017.mamenchis.Mamenchis, agents.anac.y2017.mamenchis.Mamenchis];60rounds;No;;0;;;;;;SlavaAgent;Mamenchis;Mamenchis;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;party1_utility;party2_utility;party3_utility
;1;Session genius.core.session.Session@5776713c failed: failed to construct agent : Execution failed of init<Mamenchis@181,Participant[Party171,PartyRepositoryItem[Mamenchis,agents.anac.y2017.mamenchis.Mamenchis,ANAC2017, is mediator=false],etc/templates/partydomain/party1_utility.xml]>:java.lang.IllegalStateException: need standard persistent data: need standard persistent data:[agents.anac.y2017.mamenchis.Mamenchis, C:\Users\sstoi\IdeaProjects\Intelligent-Agent\out\production\Intelligent-Agent\group10\Agent10.class, agents.anac.y2017.mamenchis.Mamenchis];60rounds;No;;0;;;;;;Mamenchis;Agent10;Mamenchis;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;party1_utility;party2_utility;party3_utility
;1;Session genius.core.session.Session@405fff9b failed: failed to construct agent : Execution failed of init<Mamenchis@186,Participant[Party176,PartyRepositoryItem[Mamenchis,agents.anac.y2017.mamenchis.Mamenchis,ANAC2017, is mediator=false],etc/templates/partydomain/party3_utility.xml]>:java.lang.IllegalStateException: need standard persistent data: need standard persistent data:[C:\Users\sstoi\IdeaProjects\Intelligent-Agent\out\production\Intelligent-Agent\group10\Agent10.class, C:\Users\sstoi\IdeaProjects\Intelligent-Agent\out\production\Intelligent-Agent\group10\Agent10.class, agents.anac.y2017.mamenchis.Mamenchis];60rounds;No;;0;;;;;;Agent10;Agent10;Mamenchis;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;party1_utility;party2_utility;party3_utility
;1;Session genius.core.session.Session@90c8f1c failed: failed to construct agent : Execution failed of init<Mamenchis@189,Participant[Party179,PartyRepositoryItem[Mamenchis,agents.anac.y2017.mamenchis.Mamenchis,ANAC2017, is mediator=false],etc/templates/partydomain/party3_utility.xml]>:java.lang.IllegalStateException: need standard persistent data: need standard persistent data:[agents.anac.y2013.SlavaAgent.SlavaAgent, C:\Users\sstoi\IdeaProjects\Intelligent-Agent\out\production\Intelligent-Agent\group10\Agent10.class, agents.anac.y2017.mamenchis.Mamenchis];60rounds;No;;0;;;;;;SlavaAgent;Agent10;Mamenchis;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;party1_utility;party2_utility;party3_utility
;1;Session genius.core.session.Session@7a226dba failed: failed to construct agent : Execution failed of init<Mamenchis@190,Participant[Party180,PartyRepositoryItem[Mamenchis,agents.anac.y2017.mamenchis.Mamenchis,ANAC2017, is mediator=false],etc/templates/partydomain/party1_utility.xml]>:java.lang.IllegalStateException: need standard persistent data: need standard persistent data:[agents.anac.y2017.mamenchis.Mamenchis, agents.anac.y2013.SlavaAgent.SlavaAgent, agents.anac.y2017.mamenchis.Mamenchis];60rounds;No;;0;;;;;;Mamenchis;SlavaAgent;Mamenchis;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;party1_utility;party2_utility;party3_utility
;1;Session genius.core.session.Session@459eefea failed: failed to construct agent : Execution failed of init<Mamenchis@195,Participant[Party185,PartyRepositoryItem[Mamenchis,agents.anac.y2017.mamenchis.Mamenchis,ANAC2017, is mediator=false],etc/templates/partydomain/party3_utility.xml]>:java.lang.IllegalStateException: need standard persistent data: need standard persistent data:[C:\Users\sstoi\IdeaProjects\Intelligent-Agent\out\production\Intelligent-Agent\group10\Agent10.class, agents.anac.y2013.SlavaAgent.SlavaAgent, agents.anac.y2017.mamenchis.Mamenchis];60rounds;No;;0;;;;;;Agent10;SlavaAgent;Mamenchis;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;party1_utility;party2_utility;party3_utility
;1;Session genius.core.session.Session@1eb9d175 failed: failed to construct agent : Execution failed of init<Mamenchis@198,Participant[Party188,PartyRepositoryItem[Mamenchis,agents.anac.y2017.mamenchis.Mamenchis,ANAC2017, is mediator=false],etc/templates/partydomain/party3_utility.xml]>:java.lang.IllegalStateException: need standard persistent data: need standard persistent data:[agents.anac.y2013.SlavaAgent.SlavaAgent, agents.anac.y2013.SlavaAgent.SlavaAgent, agents.anac.y2017.mamenchis.Mamenchis];60rounds;No;;0;;;;;;SlavaAgent;SlavaAgent;Mamenchis;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;party1_utility;party2_utility;party3_utility
;1;Session genius.core.session.Session@3bf63ff3 failed: failed to construct agent : Execution failed of init<Mamenchis@199,Participant[Party189,PartyRepositoryItem[Mamenchis,agents.anac.y2017.mamenchis.Mamenchis,ANAC2017, is mediator=false],etc/templates/partydomain/party1_utility.xml]>:java.lang.IllegalStateException: need standard persistent data: need standard persistent data:[agents.anac.y2017.mamenchis.Mamenchis, agents.anac.y2017.mamenchis.Mamenchis, C:\Users\sstoi\IdeaProjects\Intelligent-Agent\out\production\Intelligent-Agent\group10\Agent10.class];60rounds;No;;0;;;;;;Mamenchis;Mamenchis;Agent10;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;party1_utility;party2_utility;party3_utility
