sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Agent 3;Utility 1;Utility 2;Utility 3;Disc. Util. 1;Disc. Util. 2;Disc. Util. 3;Perceived. Util. 1;Perceived. Util. 2;Perceived. Util. 3;User Bother 1;User Bother 2;User Bother 3;User Util. 1;User Util. 2;User Util. 3;Profile 1;Profile 2;Profile 3
3.290;201;;200rounds;No;No;1;0.00000;0.00000;1.16592;1.41181;0.00000;UncertaintyAgentExample@0;PokerFace@1;TUDMixedStrategyAgent@2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1310000000000001;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml
3.138;201;;200rounds;No;No;1;0.00000;0.00000;1.16592;1.41181;0.00000;PokerFace@3;UncertaintyAgentExample@4;TUDMixedStrategyAgent@5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07000000000000005;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml
3.202;199;;200rounds;Yes;No;3;0.47320;0.76534;0.16723;0.47106;1.91275;TUDMixedStrategyAgent@6;UncertaintyAgentExample@7;PokerFace@8;0.6742013487952825;0.4732035752629505;0.7653408940226482;0.6742013487952825;0.4732035752629505;0.7653408940226482;0.5159433071841725;0.36666666666666664;0.7423373954253831;0.0;0.20200000000000015;0.0;0.6742013487952825;0.27120357526295036;0.7653408940226482;party1_utility.xml;party2_utility.xml;party3_utility.xml
3.020;201;;200rounds;Yes;No;3;0.61112;0.90178;0.04690;0.17647;2.21433;UncertaintyAgentExample@9;TUDMixedStrategyAgent@10;PokerFace@11;0.6111181463036212;0.9017817036419895;0.7014269488293756;0.6111181463036212;0.9017817036419895;0.7014269488293756;0.5142857142857142;0.7133002384499019;0.39262640263488185;0.046000000000000034;0.0;0.0;0.5651181463036211;0.9017817036419895;0.7014269488293756;party1_utility.xml;party2_utility.xml;party3_utility.xml
3.304;201;;200rounds;No;No;1;0.00000;0.00000;1.16592;1.41181;0.00000;PokerFace@12;TUDMixedStrategyAgent@13;UncertaintyAgentExample@14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.12800000000000009;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml
2.714;201;;200rounds;No;No;1;0.00000;0.00000;1.16592;1.41181;0.00000;TUDMixedStrategyAgent@15;PokerFace@16;UncertaintyAgentExample@17;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03000000000000002;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml
1.842;143;;200rounds;Yes;No;3;0.68499;0.88151;0.00000;0.26212;2.28320;PokerFace@18;TUDMixedStrategyAgent@19;UncertaintyAgentExample@20;0.8815139775362884;0.6849938461633399;0.7166903495694148;0.8815139775362884;0.6849938461633399;0.7166903495694148;1.0;0.462336446658242;0.38809523809523805;0.0;0.0;0.10900000000000008;0.8815139775362884;0.6849938461633399;0.6076903495694147;party1_utility.xml;party2_utility.xml;party3_utility.xml
3.957;201;;200rounds;Yes;No;3;0.59327;0.79421;0.10456;0.32361;2.06671;TUDMixedStrategyAgent@21;PokerFace@22;UncertaintyAgentExample@23;0.5932676142196289;0.67923099245169;0.7942143110178108;0.5932676142196289;0.67923099245169;0.7942143110178108;0.5608589801983009;0.731739913554671;0.46944444444444444;0.0;0.0;0.03000000000000002;0.5932676142196289;0.67923099245169;0.7642143110178108;party1_utility.xml;party2_utility.xml;party3_utility.xml
3.014;201;;200rounds;Yes;No;3;0.53021;0.76781;0.14826;0.34381;2.00105;UncertaintyAgentExample@24;PokerFace@25;TUDMixedStrategyAgent@26;0.5302132021714254;0.7030287944190783;0.7678075113827876;0.5302132021714254;0.7030287944190783;0.7678075113827876;0.5738095238095238;0.6370589680481318;0.5121826860899203;0.1380000000000001;0.0;0.0;0.3922132021714253;0.7030287944190783;0.7678075113827876;party1_utility.xml;party2_utility.xml;party3_utility.xml
3.427;201;;200rounds;No;No;1;0.00000;0.00000;1.16592;1.41181;0.00000;PokerFace@27;UncertaintyAgentExample@28;TUDMixedStrategyAgent@29;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06800000000000005;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml
3.804;201;;200rounds;Yes;No;3;0.48420;0.88127;0.11014;0.55269;1.86528;TUDMixedStrategyAgent@30;UncertaintyAgentExample@31;PokerFace@32;0.49981645034795597;0.4841977593088718;0.8812650626087384;0.49981645034795597;0.4841977593088718;0.8812650626087384;0.4876245993409939;0.4722222222222222;0.7669671984836512;0.0;0.19600000000000015;0.0;0.49981645034795597;0.2881977593088717;0.8812650626087384;party1_utility.xml;party2_utility.xml;party3_utility.xml
2.887;201;;200rounds;No;No;2;0.00000;0.00000;1.16592;1.41181;0.00000;UncertaintyAgentExample@33;TUDMixedStrategyAgent@34;PokerFace@35;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04400000000000003;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml
